timestamp_unix,timestamp_polar_ns,sample_index,ecg_uv
1778658246.412896,599617208120957591,13286,-93
1778658246.420588,599617208128649898,13286,-110
1778658246.428280,599617208136342205,13286,-117
1778658246.435973,599617208144034512,13286,-86
1778658246.443665,599617208151726819,13286,-36
1778658246.451357,599617208159419126,13286,64
1778658246.459049,599617208167111433,13286,298
1778658246.466742,599617208174803740,13286,615
1778658246.474434,599617208182496047,13286,622
1778658246.482126,599617208190188354,13286,81
1778658246.489819,599617208197880661,13286,-420
1778658246.497511,599617208205572968,13286,-387
1778658246.505203,599617208213265275,13286,-187
1778658246.512896,599617208220957582,13286,-139
1778658246.520588,599617208228649889,13286,-117
1778658246.528280,599617208236342196,13286,-86
1778658246.535973,599617208244034503,13286,-79
1778658246.543665,599617208251726810,13286,-74
1778658246.551357,599617208259419117,13286,-72
1778658246.559050,599617208267111424,13286,-76
1778658246.566742,599617208274803731,13286,-88
1778658246.574434,599617208282496038,13286,-108
1778658246.582126,599617208290188345,13286,-101
1778658246.589819,599617208297880652,13286,-57
1778658246.597511,599617208305572959,13286,-31
1778658246.624367,599617208313029172,13359,-33
1778658246.632059,599617208320721479,13359,-40
1778658246.639752,599617208328413786,13359,-48
1778658246.647444,599617208336106093,13359,-50
1778658246.655136,599617208343798400,13359,-40
1778658246.662828,599617208351490707,13359,-40
1778658246.670521,599617208359183014,13359,-33
1778658246.678213,599617208366875321,13359,-14
1778658246.685905,599617208374567628,13359,7
1778658246.693598,599617208382259935,13359,24
1778658246.701290,599617208389952242,13359,28
1778658246.708982,599617208397644549,13359,55
1778658246.716675,599617208405336856,13359,105
1778658246.724367,599617208413029163,13359,122
1778658246.732059,599617208420721470,13359,105
1778658246.739752,599617208428413777,13359,113
1778658246.747444,599617208436106084,13359,144
1778658246.755136,599617208443798391,13359,151
1778658246.762829,599617208451490698,13359,141
1778658246.770521,599617208459183005,13359,141
1778658246.778213,599617208466875312,13359,132
1778658246.785905,599617208474567619,13359,84
1778658246.793598,599617208482259926,13359,24
1778658246.801290,599617208489952233,13359,-21
1778658246.808982,599617208497644540,13359,-48
1778658246.816675,599617208505336847,13359,-91
1778658246.824367,599617208513029154,13359,-139
1778658246.832059,599617208520721461,13359,-151
1778658246.839751,599617208528413768,13359,-156
1778658246.847444,599617208536106075,13359,-170
1778658246.855136,599617208543798382,13359,-175
1778658246.862828,599617208551490689,13359,-182
1778658246.870521,599617208559182996,13359,-192
1778658246.878213,599617208566875303,13359,-182
1778658246.885906,599617208574567610,13359,-168
1778658246.893598,599617208582259917,13359,-168
1778658246.901290,599617208589952224,13359,-163
1778658246.908982,599617208597644531,13359,-153
1778658246.916675,599617208605336838,13359,-153
1778658246.924367,599617208613029145,13359,-170
1778658246.932059,599617208620721452,13359,-163
1778658246.939752,599617208628413759,13359,-127
1778658246.947444,599617208636106066,13359,-115
1778658246.955136,599617208643798373,13359,-134
1778658246.962828,599617208651490680,13359,-149
1778658246.970521,599617208659182987,13359,-141
1778658246.978213,599617208666875294,13359,-127
1778658246.985905,599617208674567601,13359,-117
1778658246.993598,599617208682259908,13359,-120
1778658247.001290,599617208689952215,13359,-134
1778658247.008982,599617208697644522,13359,-144
1778658247.016675,599617208705336829,13359,-137
1778658247.024367,599617208713029136,13359,-117
1778658247.032059,599617208720721443,13359,-108
1778658247.039752,599617208728413750,13359,-127
1778658247.047444,599617208736106057,13359,-129
1778658247.055136,599617208743798364,13359,-96
1778658247.062829,599617208751490671,13359,-91
1778658247.070521,599617208759182978,13359,-120
1778658247.078213,599617208766875285,13359,-117
1778658247.085905,599617208774567592,13359,-98
1778658247.093598,599617208782259899,13359,-105
1778658247.101290,599617208789952206,13359,-125
1778658247.108982,599617208797644513,13359,-137
1778658247.116675,599617208805336820,13359,-113
1778658247.124367,599617208813029127,13359,-81
1778658247.132059,599617208820721434,13359,-91
1778658247.139752,599617208828413741,13359,-117
1778658247.147444,599617208836106048,13359,-115
1778658247.155136,599617208843798355,13359,-98
1778658247.162828,599617208851490662,13359,-98
1778658247.170521,599617208859182969,13359,-101
1778658247.178213,599617208866875276,13359,-88
1778658247.170885,599617208874316228,13432,-76
1778658247.178577,599617208882008535,13432,-86
1778658247.186270,599617208889700842,13432,-110
1778658247.193962,599617208897393149,13432,-113
1778658247.201654,599617208905085456,13432,-105
1778658247.209346,599617208912777763,13432,-105
1778658247.217039,599617208920470070,13432,-86
1778658247.224731,599617208928162377,13432,-74
1778658247.232423,599617208935854684,13432,-88
1778658247.240116,599617208943546991,13432,-76
1778658247.247808,599617208951239298,13432,-52
1778658247.255500,599617208958931605,13432,-45
1778658247.263192,599617208966623912,13432,-52
1778658247.270885,599617208974316219,13432,-79
1778658247.278577,599617208982008526,13432,-93
1778658247.286269,599617208989700833,13432,-84
1778658247.293962,599617208997393140,13432,-86
1778658247.301654,599617209005085447,13432,-101
1778658247.309346,599617209012777754,13432,-93
1778658247.317039,599617209020470061,13432,-81
1778658247.324731,599617209028162368,13432,-86
1778658247.332423,599617209035854675,13432,-88
1778658247.340116,599617209043546982,13432,-74
1778658247.347808,599617209051239289,13432,-79
1778658247.355500,599617209058931596,13432,-88
1778658247.363193,599617209066623903,13432,-81
1778658247.370885,599617209074316210,13432,-64
1778658247.378577,599617209082008517,13432,31
1778658247.386269,599617209089700824,13432,300
1778658247.393962,599617209097393131,13432,666
1778658247.401654,599617209105085438,13432,702
1778658247.409346,599617209112777745,13432,96
1778658247.417039,599617209120470052,13432,-524
1778658247.424731,599617209128162359,13432,-485
1778658247.432423,599617209135854666,13432,-216
1778658247.440116,599617209143546973,13432,-175
1778658247.447808,599617209151239280,13432,-161
1778658247.455500,599617209158931587,13432,-101
1778658247.463192,599617209166623894,13432,-98
1778658247.470885,599617209174316201,13432,-110
1778658247.478577,599617209182008508,13432,-91
1778658247.486269,599617209189700815,13432,-79
1778658247.493962,599617209197393122,13432,-81
1778658247.501654,599617209205085429,13432,-76
1778658247.509346,599617209212777736,13432,-72
1778658247.517039,599617209220470043,13432,-62
1778658247.524731,599617209228162350,13432,-62
1778658247.532423,599617209235854657,13432,-76
1778658247.540116,599617209243546964,13432,-62
1778658247.547808,599617209251239271,13432,-36
1778658247.555500,599617209258931578,13432,-38
1778658247.563193,599617209266623885,13432,-40
1778658247.570885,599617209274316192,13432,-24
1778658247.578577,599617209282008499,13432,-7
1778658247.586269,599617209289700806,13432,0
1778658247.593962,599617209297393113,13432,7
1778658247.601654,599617209305085420,13432,21
1778658247.609346,599617209312777727,13432,31
1778658247.617039,599617209320470034,13432,50
1778658247.624731,599617209328162341,13432,84
1778658247.632423,599617209335854648,13432,108
1778658247.640115,599617209343546955,13432,120
1778658247.647808,599617209351239262,13432,134
1778658247.655500,599617209358931569,13432,146
1778658247.663193,599617209366623876,13432,156
1778658247.670885,599617209374316183,13432,156
1778658247.678577,599617209382008490,13432,139
1778658247.686270,599617209389700797,13432,98
1778658247.693962,599617209397393104,13432,45
1778658247.701654,599617209405085411,13432,-4
1778658247.709346,599617209412777718,13432,-60
1778658247.717039,599617209420470025,13432,-110
1778658247.724731,599617209428162332,13432,-144
1778658247.707663,599617209435603280,13505,-182
1778658247.715356,599617209443295587,13505,-214
1778658247.723048,599617209450987894,13505,-221
1778658247.730740,599617209458680201,13505,-223
1778658247.738432,599617209466372508,13505,-230
1778658247.746125,599617209474064815,13505,-238
1778658247.753817,599617209481757122,13505,-238
1778658247.761509,599617209489449429,13505,-238
1778658247.769202,599617209497141736,13505,-226
1778658247.776894,599617209504834043,13505,-209
1778658247.784586,599617209512526350,13505,-211
1778658247.792279,599617209520218657,13505,-214
1778658247.799971,599617209527910964,13505,-197
1778658247.807663,599617209535603271,13505,-189
1778658247.815356,599617209543295578,13505,-187
1778658247.823048,599617209550987885,13505,-182
1778658247.830740,599617209558680192,13505,-177
1778658247.838433,599617209566372499,13505,-177
1778658247.846125,599617209574064806,13505,-175
1778658247.853817,599617209581757113,13505,-173
1778658247.861509,599617209589449420,13505,-163
1778658247.869202,599617209597141727,13505,-153
1778658247.876894,599617209604834034,13505,-151
1778658247.884586,599617209612526341,13505,-156
1778658247.892279,599617209620218648,13505,-158
1778658247.899971,599617209627910955,13505,-163
1778658247.907663,599617209635603262,13505,-173
1778658247.915356,599617209643295569,13505,-165
1778658247.923048,599617209650987876,13505,-158
1778658247.930740,599617209658680183,13505,-156
1778658247.938432,599617209666372490,13505,-151
1778658247.946125,599617209674064797,13505,-151
1778658247.953817,599617209681757104,13505,-153
1778658247.961509,599617209689449411,13505,-156
1778658247.969202,599617209697141718,13505,-156
1778658247.976894,599617209704834025,13505,-146
1778658247.984586,599617209712526332,13505,-144
1778658247.992279,599617209720218639,13505,-151
1778658247.999971,599617209727910946,13505,-153
1778658248.007663,599617209735603253,13505,-149
1778658248.015356,599617209743295560,13505,-144
1778658248.023048,599617209750987867,13505,-146
1778658248.030740,599617209758680174,13505,-149
1778658248.038433,599617209766372481,13505,-144
1778658248.046125,599617209774064788,13505,-144
1778658248.053817,599617209781757095,13505,-141
1778658248.061509,599617209789449402,13505,-122
1778658248.069202,599617209797141709,13505,-122
1778658248.076894,599617209804834016,13505,-139
1778658248.084586,599617209812526323,13505,-137
1778658248.092279,599617209820218630,13505,-125
1778658248.099971,599617209827910937,13505,-127
1778658248.107663,599617209835603244,13505,-129
1778658248.115355,599617209843295551,13505,-125
1778658248.123048,599617209850987858,13505,-125
1778658248.130740,599617209858680165,13505,-129
1778658248.138433,599617209866372472,13505,-129
1778658248.146125,599617209874064779,13505,-125
1778658248.153817,599617209881757086,13505,-113
1778658248.161510,599617209889449393,13505,-103
1778658248.169202,599617209897141700,13505,-108
1778658248.176894,599617209904834007,13505,-101
1778658248.184586,599617209912526314,13505,-98
1778658248.192279,599617209920218621,13505,-115
1778658248.199971,599617209927910928,13505,-122
1778658248.207663,599617209935603235,13505,-120
1778658248.215356,599617209943295542,13505,-129
1778658248.223048,599617209950987849,13505,-134
1778658248.230740,599617209958680156,13505,-132
1778658248.238432,599617209966372463,13505,-132
1778658248.246125,599617209974064770,13505,-134
1778658248.253817,599617209981757077,13505,-129
1778658248.261509,599617209989449384,13505,-127
1778658248.337702,599617209996936117,13578,-129
1778658248.345395,599617210004628424,13578,-122
1778658248.353087,599617210012320731,13578,-74
1778658248.360779,599617210020013038,13578,108
1778658248.368471,599617210027705345,13578,476
1778658248.376164,599617210035397652,13578,764
1778658248.383856,599617210043089959,13578,476
1778658248.391548,599617210050782266,13578,-247
1778658248.399241,599617210058474573,13578,-579
1778658248.406933,599617210066166880,13578,-372
1778658248.414625,599617210073859187,13578,-192
1778658248.422318,599617210081551494,13578,-182
1778658248.430010,599617210089243801,13578,-165
1778658248.437702,599617210096936108,13578,-137
1778658248.445395,599617210104628415,13578,-141
1778658248.453087,599617210112320722,13578,-139
1778658248.460779,599617210120013029,13578,-122
1778658248.468472,599617210127705336,13578,-115
1778658248.476164,599617210135397643,13578,-115
1778658248.483856,599617210143089950,13578,-108
1778658248.491548,599617210150782257,13578,-103
1778658248.499241,599617210158474564,13578,-101
1778658248.506933,599617210166166871,13578,-88
1778658248.514625,599617210173859178,13578,-74
1778658248.522318,599617210181551485,13578,-64
1778658248.530010,599617210189243792,13578,-57
1778658248.537702,599617210196936099,13578,-52
1778658248.545395,599617210204628406,13578,-43
1778658248.553087,599617210212320713,13578,-33
1778658248.560779,599617210220013020,13578,-21
1778658248.568471,599617210227705327,13578,-4
1778658248.576164,599617210235397634,13578,7
1778658248.583856,599617210243089941,13578,24
1778658248.591548,599617210250782248,13578,43
1778658248.599241,599617210258474555,13578,62
1778658248.606933,599617210266166862,13578,86
1778658248.614625,599617210273859169,13578,108
1778658248.622318,599617210281551476,13578,129
1778658248.630010,599617210289243783,13578,141
1778658248.637702,599617210296936090,13578,146
1778658248.645395,599617210304628397,13578,151
1778658248.653087,599617210312320704,13578,146
1778658248.660779,599617210320013011,13578,125
1778658248.668472,599617210327705318,13578,91
1778658248.676164,599617210335397625,13578,40
1778658248.683856,599617210343089932,13578,-12
1778658248.691548,599617210350782239,13578,-67
1778658248.699241,599617210358474546,13578,-120
1778658248.706933,599617210366166853,13578,-158
1778658248.714625,599617210373859160,13578,-187
1778658248.722318,599617210381551467,13578,-206
1778658248.730010,599617210389243774,13578,-218
1778658248.737702,599617210396936081,13578,-226
1778658248.745394,599617210404628388,13578,-223
1778658248.753087,599617210412320695,13578,-223
1778658248.760779,599617210420013002,13578,-218
1778658248.768471,599617210427705309,13578,-211
1778658248.776164,599617210435397616,13578,-211
1778658248.783856,599617210443089923,13578,-204
1778658248.791548,599617210450782230,13578,-197
1778658248.799241,599617210458474537,13578,-192
1778658248.806933,599617210466166844,13578,-187
1778658248.814625,599617210473859151,13578,-185
1778658248.822318,599617210481551458,13578,-182
1778658248.830010,599617210489243765,13578,-175
1778658248.837702,599617210496936072,13578,-173
1778658248.845395,599617210504628379,13578,-168
1778658248.853087,599617210512320686,13578,-165
1778658248.860779,599617210520012993,13578,-163
1778658248.868471,599617210527705300,13578,-156
1778658248.876164,599617210535397607,13578,-156
1778658248.883856,599617210543089914,13578,-151
1778658248.891548,599617210550782221,13578,-146
1778658248.877686,599617210558228258,13651,-151
1778658248.885378,599617210565920565,13651,-153
1778658248.893070,599617210573612872,13651,-151
1778658248.900762,599617210581305179,13651,-149
1778658248.908455,599617210588997486,13651,-146
1778658248.916147,599617210596689793,13651,-149
1778658248.923839,599617210604382100,13651,-146
1778658248.931532,599617210612074407,13651,-144
1778658248.939224,599617210619766714,13651,-146
1778658248.946916,599617210627459021,13651,-144
1778658248.954609,599617210635151328,13651,-139
1778658248.962301,599617210642843635,13651,-137
1778658248.969993,599617210650535942,13651,-134
1778658248.977685,599617210658228249,13651,-134
1778658248.985378,599617210665920556,13651,-137
1778658248.993070,599617210673612863,13651,-139
1778658249.000762,599617210681305170,13651,-134
1778658249.008455,599617210688997477,13651,-134
1778658249.016147,599617210696689784,13651,-137
1778658249.023839,599617210704382091,13651,-132
1778658249.031532,599617210712074398,13651,-134
1778658249.039224,599617210719766705,13651,-134
1778658249.046916,599617210727459012,13651,-129
1778658249.054609,599617210735151319,13651,-127
1778658249.062301,599617210742843626,13651,-127
1778658249.069993,599617210750535933,13651,-127
1778658249.077686,599617210758228240,13651,-127
1778658249.085378,599617210765920547,13651,-122
1778658249.093070,599617210773612854,13651,-120
1778658249.100762,599617210781305161,13651,-117
1778658249.108455,599617210788997468,13651,-117
1778658249.116147,599617210796689775,13651,-120
1778658249.123839,599617210804382082,13651,-117
1778658249.131532,599617210812074389,13651,-117
1778658249.139224,599617210819766696,13651,-115
1778658249.146916,599617210827459003,13651,-113
1778658249.154608,599617210835151310,13651,-115
1778658249.162301,599617210842843617,13651,-115
1778658249.169993,599617210850535924,13651,-117
