timestamp_unix,timestamp_polar_ns,sample_index,x_mg,y_mg,z_mg,vm_mg
1778658241.811513,599617204361721912,2484,-1009.0,27.0,-150.0,1020.45
1778658241.851513,599617204401721912,2484,-1017.0,18.0,-153.0,1028.6
1778658241.891513,599617204441721912,2484,-1014.0,22.0,-152.0,1025.57
1778658241.931513,599617204481721912,2484,-1003.0,17.0,-136.0,1012.32
1778658241.971513,599617204521721912,2484,-1014.0,7.0,-162.0,1026.88
1778658242.011513,599617204561721912,2484,-1007.0,16.0,-155.0,1018.98
1778658242.051513,599617204601721912,2484,-1011.0,40.0,-126.0,1019.61
1778658242.047349,599617204621571878,2520,-1014.0,22.0,-177.0,1029.57
1778658242.087349,599617204661571878,2520,-1013.0,14.0,-163.0,1026.13
1778658242.127349,599617204701571878,2520,-1003.0,32.0,-126.0,1011.39
1778658242.167349,599617204741571878,2520,-1014.0,24.0,-142.0,1024.18
1778658242.207349,599617204781571878,2520,-1012.0,16.0,-158.0,1024.38
1778658242.247349,599617204821571878,2520,-1015.0,39.0,-155.0,1027.51
1778658242.287349,599617204861571878,2520,-1016.0,30.0,-173.0,1031.06
1778658242.327349,599617204901571878,2520,-1005.0,10.0,-187.0,1022.3
1778658242.367349,599617204941571878,2520,-995.0,15.0,-112.0,1001.4
1778658242.407349,599617204981571878,2520,-1014.0,11.0,-149.0,1024.95
1778658242.447349,599617205021571878,2520,-1014.0,11.0,-185.0,1030.8
1778658242.487349,599617205061571878,2520,-1015.0,40.0,-169.0,1029.75
1778658242.527349,599617205101571878,2520,-1008.0,38.0,-180.0,1024.65
1778658242.567349,599617205141571878,2520,-1014.0,30.0,-176.0,1029.6
1778658242.607349,599617205181571878,2520,-1007.0,23.0,-156.0,1019.27
1778658242.647349,599617205221571878,2520,-1010.0,30.0,-179.0,1026.18
1778658242.687349,599617205261571878,2520,-1013.0,10.0,-175.0,1028.05
1778658242.727349,599617205301571878,2520,-1012.0,37.0,-137.0,1021.9
1778658242.767349,599617205341571878,2520,-1015.0,23.0,-186.0,1032.16
1778658242.807349,599617205381571878,2520,-1013.0,-27.0,-186.0,1030.29
1778658242.847349,599617205421571878,2520,-1006.0,-1.0,-143.0,1016.11
1778658242.887349,599617205461571878,2520,-1010.0,52.0,-139.0,1020.85
1778658242.927349,599617205501571878,2520,-1015.0,32.0,-140.0,1025.11
1778658242.967349,599617205541571878,2520,-1006.0,44.0,-145.0,1017.35
1778658243.007349,599617205581571878,2520,-1010.0,52.0,-169.0,1025.36
1778658243.047349,599617205621571878,2520,-1016.0,-1.0,-138.0,1025.33
1778658243.087349,599617205661571878,2520,-1011.0,10.0,-142.0,1020.97
1778658243.127349,599617205701571878,2520,-1009.0,26.0,-158.0,1021.63
1778658243.167349,599617205741571878,2520,-1014.0,14.0,-179.0,1029.77
1778658243.207349,599617205781571878,2520,-1014.0,9.0,-157.0,1026.12
1778658243.247349,599617205821571878,2520,-1013.0,5.0,-143.0,1023.06
1778658243.287349,599617205861571878,2520,-1013.0,12.0,-150.0,1024.12
1778658243.327349,599617205901571878,2520,-1008.0,6.0,-143.0,1018.11
1778658243.367349,599617205941571878,2520,-1011.0,0.0,-154.0,1022.66
1778658243.407349,599617205981571878,2520,-1010.0,5.0,-161.0,1022.76
1778658243.447349,599617206021571878,2520,-1011.0,7.0,-184.0,1027.63
1778658243.487040,599617206041696472,2556,-1010.0,13.0,-179.0,1025.82
1778658243.527040,599617206081696472,2556,-1012.0,14.0,-153.0,1023.6
1778658243.567040,599617206121696472,2556,-1013.0,13.0,-133.0,1021.78
1778658243.607040,599617206161696472,2556,-1015.0,17.0,-157.0,1027.21
1778658243.647040,599617206201696472,2556,-1012.0,24.0,-153.0,1023.78
